"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"ДН012266","236-1005159","Болт стяжной короткий (нижний крышки коленвала) М20х192","шт","410","","0","0","0"
"ДН012440","236-1005180-А","Болт стяжной короткий ЯМЗ М14х75","шт","254","","0","0","0"
"ДН007807","201571","Болт стяжной чашек МОД (М12х50)","шт","12","","0.06","0","0"
"ДН003327","372882","Болт ушка рессоры в сборе","шт","97","","0.35","0","0"
"ДН004359","240Н-1008504/510","Болт+втулка коллектора н/о (омеднение) усиленная шляпка","шт","42","","0.05","0","0"
"ДН12126","6430-2809010-001","Брус противооткатный 6430","шт","22910","","0","0","0"
"ДН003191","5336-8403261","Брызговик (заднее крыло) левый","шт","1350","","3.55","0","0"
"ДН003216","5336-8403260","Брызговик (заднее крыло) правый","шт","1350","","3.55","0","0"
"ДН005318","5551-8403261","Брызговик (заднее крыло) самосвал левый","шт","1350","","3.85","0","0"
"ДН005317","5551-8403260","Брызговик (заднее крыло) самосвал правый","шт","1350","","3.85","0","0"
"ДН14523","53366-8511010","Брызговик заднего колеса (516-8511010)","шт","2450","","0","0","0"
"ДН11566","54321-8511111","Брызговик задний (резино-полимер) (400х680)","шт","470","","1.2","0","0"
"ДН12730","5428-8511111","Брызговик задний МАЗ (резина/ткань) (570х280)","шт","105","","1.2","0","0"
"ДН11565","5428-8511111","Брызговик задний МАЗ (резино-полимер) (560х280)","шт","305","","1.4","0","0"
"ДН12732","5440-8511111","Брызговик задний н/о (резина/ткань) (270х680)","шт","195","","1.65","0","0"
"ДН14611","5440-8511111","Брызговик задний н/о (резино-полимер) (270х680)","шт","350","","0","0","0"
"ДН012966","6430-8403276","Брызговик переднего крыла 6430 (390х290)","шт","150","","0","0","0"
"ДН12731","5336-8403276","Брызговик передний МАЗ (резина/ткань) (540х520)","шт","155","","2.1","0","0"
"ДН12733","54321-8511111","Брызговик платформы задний (резина/ткань)(395х680)","шт","220","","0.26","0","0"
"ДН12734","93866-8511111","Брызговик прицепа (резина/ткань) (470х680)","шт","215","","2.5","0","0"
"ДН11567","93866-8511111","Брызговик прицепа (резино-полимер) (480х680)","шт","635","","3.22","0","0"
"ДН012364","5336-2707284","Буфер буксирного устройства ЕВРО (полиуретан)","шт","1170","","0","0","0"
"ДН006285","5336-2707284","Буфер буксирного устройства ЕВРО (резина)","шт","250","","1.85","0","0"
"ДН012608","5336-2707218","Буфер евросцепки","шт","495","","0","0","0"
"ДН012043","5336-5001840","Буфер заднего подрессоривания","шт","120","","0.07","0","0"
"ДН009817","6430-2934026","Буфер задней пневморессоры (малый)","шт","205","","0.1","0","0"
"ДН005090","501-2912624","Буфер задней рессоры","шт","270","","0.5","0","0"
"ДН006171","500-2912622-01","Буфер задней рессоры","шт","240","","0.4","0","0"
"ДН007483","5336-2912622-10","Буфер задней рессоры 5336","шт","84","","0.25","0","0"
"ДН008887","4370-2913622","Буфер задней рессоры Зубрёнок","шт","190","","0.25","0","0"
"ДН003843","5336-5001766-01","Буфер кабины","шт","250","","0.155","0","0"
"ДН006733","5336-5001756","Буфер кабины (подушка)","шт","150","","0.35","0","0"
"ДН012044","6301-2912622","Буфер отбойник картера моста н/о","шт","189","","0","0","0"
"ДН003844","64221-2902624","Буфер передней подвески","шт","138","","3","0","0"
"ДН010077","4370-2902624","Буфер передней подвески Зубренок","шт","140","","0.15","0","0"
"ДН007875","500-2902624","Буфер передней рессоры","шт","100","","0.3","0","0"
"ДН003845","500А-2902634","Буфер плоский (передней рессоры с площадкой)","шт","248","","0.85","0","0"
"ДН004152","6303-2912622-20","Буфер рессоры 6303","шт","520","","0.65","0","0"
"ДН007304","6430-2912622","Буфер рессоры 6430","шт","470","","0.22","0","0"
"ДН011322","64229-1001054","Вал (направляющая крепления балки )","шт","520","","0.4","0","0"
"ДН012138","16993","Вал (шток) вилки переключения демультипликатора КПП Китай","шт","480","","0","0","0"
"ДН12569","15-1601215","Вал вилки сцепления (202)","шт","4350","","0","0","0"
"ДН008237","184-1601215-10","Вал вилки сцепления 184 (фосфат)","шт","590","","2.4","0","0"
